"mpg","cyl","disp","hp","drat","wt","qsec","vs","am","gear","carb"
1,six,160,110,3.9,2.62,16.46,0,1,four,4
1,six,160,110,3.9,2.875,17.02,0,1,four,4
1,four,108,93,3.85,2.32,18.61,1,1,four,1
1,six,258,110,3.08,3.215,19.44,1,0,three,1
0,eight,360,175,3.15,3.44,17.02,0,0,three,2
0,six,225,105,2.76,3.46,20.22,1,0,three,1
0,eight,360,245,3.21,3.57,15.84,0,0,three,4
1,four,146.7,62,3.69,3.19,20,1,0,four,2
1,four,140.8,95,3.92,3.15,22.9,1,0,four,2
0,six,167.6,123,3.92,3.44,18.3,1,0,four,4
0,six,167.6,123,3.92,3.44,18.9,1,0,four,4
0,eight,275.8,180,3.07,4.07,17.4,0,0,three,3
0,eight,275.8,180,3.07,3.73,17.6,0,0,three,3
0,eight,275.8,180,3.07,3.78,18,0,0,three,3
0,eight,472,205,2.93,5.25,17.98,0,0,three,4
0,eight,460,215,3,5.424,17.82,0,0,three,4
0,eight,440,230,3.23,5.345,17.42,0,0,three,4
1,four,78.7,66,4.08,2.2,19.47,1,1,four,1
1,four,75.7,52,4.93,1.615,18.52,1,1,four,2
1,four,71.1,65,4.22,1.835,19.9,1,1,four,1
1,four,120.1,97,3.7,2.465,20.01,1,0,three,1
0,four,318,150,2.76,3.52,16.87,0,0,three,2
0,four,304,150,3.15,3.435,17.3,0,0,three,2
0,four,350,245,3.73,3.84,15.41,0,0,three,4
0,eight,400,175,3.08,3.845,17.05,0,0,three,2
1,four,79,66,4.08,1.935,18.9,1,1,four,1
1,four,120.3,91,4.43,2.14,16.7,0,1,five,2
1,four,95.1,113,3.77,1.513,16.9,1,1,five,2
0,eight,351,264,4.22,3.17,14.5,0,1,five,4
0,six,145,175,3.62,2.77,15.5,0,1,five,6
0,eight,301,335,3.54,3.57,14.6,0,1,five,8
1,four,121,109,4.11,2.78,18.6,1,1,four,2
